case,display_name,method,phase,repeat,prompt_index,seed,pipeline_elapsed_s,denoise_elapsed_s,non_denoise_elapsed_s,segment_count,output
ralu_nt45,RALU-45,ralu,measured,0,1,15001,41.998529417440295,36.794372307136655,5.20415711030364,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt45/ralu_nt45_01_seed15001.mp4
ralu_nt45,RALU-45,ralu,measured,1,2,15002,42.280323546379805,36.78406088799238,5.496262658387423,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt45/ralu_nt45_02_seed15002.mp4
ralu_nt45,RALU-45,ralu,measured,2,3,15003,41.754438327625394,36.71658096462488,5.037857363000512,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt45/ralu_nt45_03_seed15003.mp4
ralu_nt45,RALU-45,ralu,measured,3,4,15004,42.04083904437721,36.84377291984856,5.1970661245286465,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt45/ralu_nt45_04_seed15004.mp4
ralu_nt45,RALU-45,ralu,measured,4,5,15005,41.9583489689976,36.909905372187495,5.0484435968101025,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/ralu_nt45/ralu_nt45_05_seed15005.mp4
talh45,TrajScale-45,talh,warmup,0,0,15000,44.05102225206792,37.604905650019646,6.446116602048278,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh45/talh45_00_seed15000.mp4
talh45,TrajScale-45,talh,measured,0,1,15001,42.27276996523142,37.12532410956919,5.147445855662227,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh45/talh45_01_seed15001.mp4
talh45,TrajScale-45,talh,measured,1,2,15002,42.5396468564868,37.14012472704053,5.399522129446268,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh45/talh45_02_seed15002.mp4
talh45,TrajScale-45,talh,measured,2,3,15003,41.99421950057149,36.84945187345147,5.144767627120018,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh45/talh45_03_seed15003.mp4
talh45,TrajScale-45,talh,measured,3,4,15004,42.20184647664428,36.84075271897018,5.361093757674098,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh45/talh45_04_seed15004.mp4
talh45,TrajScale-45,talh,measured,4,5,15005,42.30568843521178,37.01234462112188,5.293343814089894,1,/mnt/afs_2/houze/wanUpsampler/outputs/aaai27_experiments/quality_efficiency_final_v2/warm_quality_efficiency/videos/talh45/talh45_05_seed15005.mp4
